x	data	res	fit_sum	fit1	fit2	fit3	fit4	fit5	Donly	dynamic
0.000	0.000	1.784	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.010	0.000	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.020	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.030	0.001	-1.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.040	0.001	0.507	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.050	0.000	0.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.059	0.001	0.128	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.069	0.001	-0.009	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.000
0.079	0.002	1.532	0.002	0.000	0.002	0.000	0.000	0.000	0.000	0.000
0.089	0.003	0.932	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000
0.099	0.002	0.387	0.003	0.000	0.002	0.000	0.000	0.000	0.000	0.000
0.109	0.004	-0.235	0.003	0.000	0.003	0.000	0.000	0.000	0.000	0.000
0.119	0.005	0.623	0.005	0.000	0.005	0.000	0.000	0.000	0.000	0.000
0.129	0.008	-0.542	0.008	0.000	0.008	0.000	0.000	0.000	0.000	0.000
0.139	0.009	0.369	0.009	0.000	0.009	0.000	0.000	0.000	0.000	0.000
0.149	0.008	-0.756	0.008	0.000	0.008	0.000	0.000	0.000	0.000	0.000
0.158	0.013	-1.184	0.012	0.000	0.012	0.000	0.000	0.000	0.000	0.000
0.168	0.012	0.029	0.012	0.000	0.011	0.000	0.000	0.000	0.000	0.000
0.178	0.016	0.180	0.016	0.000	0.016	0.000	0.000	0.000	0.000	0.001
0.188	0.017	-0.170	0.017	0.000	0.016	0.000	0.000	0.000	0.000	0.001
0.198	0.018	-0.019	0.018	0.000	0.017	0.000	0.000	0.000	0.000	0.001
0.208	0.021	-0.645	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.001
0.218	0.021	0.094	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.001
0.228	0.019	0.290	0.019	0.000	0.018	0.000	0.000	0.000	0.000	0.001
0.238	0.023	-0.585	0.022	0.000	0.021	0.000	0.000	0.000	0.000	0.001
0.248	0.021	0.207	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.001
0.257	0.021	-0.182	0.021	0.000	0.020	0.000	0.000	0.000	0.000	0.002
0.267	0.021	-0.411	0.021	0.000	0.019	0.000	0.000	0.000	0.000	0.002
0.277	0.019	1.797	0.021	0.000	0.019	0.000	0.000	0.000	0.000	0.002
0.287	0.018	-0.542	0.017	0.000	0.015	0.000	0.000	0.000	0.000	0.002
0.297	0.017	-1.027	0.016	0.000	0.014	0.000	0.000	0.000	0.000	0.002
0.307	0.013	1.072	0.014	0.000	0.012	0.000	0.000	0.000	0.000	0.002
0.317	0.016	0.004	0.016	0.000	0.014	0.000	0.000	0.000	0.000	0.003
0.327	0.013	1.239	0.014	0.000	0.012	0.000	0.000	0.000	0.000	0.003
0.337	0.010	0.240	0.010	0.000	0.008	0.000	0.000	0.000	0.000	0.002
0.347	0.009	-0.326	0.009	0.000	0.007	0.000	0.000	0.000	0.000	0.002
0.356	0.010	0.820	0.010	0.000	0.007	0.000	0.000	0.000	0.000	0.003
0.366	0.009	-0.842	0.008	0.000	0.006	0.000	0.000	0.000	0.000	0.003
0.376	0.008	-1.354	0.008	0.000	0.005	0.000	0.000	0.000	0.000	0.003
0.386	0.006	1.192	0.007	0.000	0.004	0.000	0.000	0.000	0.000	0.003
0.396	0.005	0.392	0.005	0.000	0.003	0.000	0.000	0.000	0.000	0.002
0.406	0.005	0.526	0.006	0.000	0.003	0.000	0.000	0.000	0.000	0.003
0.416	0.005	-0.827	0.005	0.000	0.002	0.000	0.000	0.000	0.000	0.003
0.426	0.006	-1.371	0.005	0.000	0.002	0.000	0.000	0.000	0.000	0.003
0.436	0.004	-0.876	0.004	0.000	0.001	0.000	0.000	0.000	0.000	0.003
0.446	0.004	-0.660	0.004	0.000	0.001	0.000	0.000	0.000	0.000	0.003
0.455	0.003	1.247	0.004	0.000	0.001	0.000	0.000	0.000	0.000	0.003
0.465	0.002	0.614	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.002
0.475	0.006	-1.920	0.005	0.000	0.001	0.000	0.000	0.000	0.000	0.004
0.485	0.002	0.396	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.002
0.495	0.004	0.302	0.004	0.000	0.001	0.000	0.000	0.000	0.000	0.004
0.505	0.002	1.046	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.002
0.515	0.005	-1.924	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.004
0.525	0.002	0.289	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.002
0.535	0.003	0.967	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.545	0.003	1.119	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.554	0.004	-1.673	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.564	0.003	1.016	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.574	0.003	1.210	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.584	0.003	0.541	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.003
0.594	0.003	-0.265	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.002
0.604	0.003	0.626	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.614	0.004	-1.135	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.624	0.004	-0.798	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.634	0.004	0.043	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.003
0.644	0.004	-0.284	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.002
0.653	0.005	-2.456	0.004	0.001	0.000	0.000	0.000	0.000	0.000	0.002
0.663	0.004	2.111	0.005	0.002	0.000	0.000	0.000	0.000	0.000	0.003
0.673	0.005	2.311	0.006	0.003	0.000	0.000	0.000	0.000	0.000	0.003
0.683	0.005	-0.888	0.005	0.002	0.000	0.000	0.000	0.000	0.000	0.002
0.693	0.005	0.869	0.005	0.003	0.000	0.000	0.000	0.000	0.000	0.003
0.703	0.006	0.465	0.006	0.003	0.000	0.000	0.000	0.000	0.000	0.003
0.713	0.008	0.475	0.008	0.005	0.000	0.000	0.000	0.000	0.000	0.003
0.723	0.008	-0.518	0.008	0.005	0.000	0.000	0.000	0.000	0.000	0.003
0.733	0.009	0.184	0.009	0.006	0.000	0.000	0.000	0.000	0.000	0.003
0.743	0.008	1.375	0.009	0.007	0.000	0.000	0.000	0.000	0.000	0.003
0.752	0.011	0.112	0.011	0.009	0.000	0.000	0.000	0.000	0.000	0.003
